순번,권장버전,수정시각_KST,원본폴더명,Release제목
1,v0.1.0,2026-08-15 15:53:22,certi_on_ogq_ultimate,초기 ULTIMATE 통합본
2,v0.2.0,2026-08-16 00:12:44,certi_on_ogq,경량 OGQ 시제품 브랜치
3,v0.3.0,2026-08-16 01:11:24,certi_on_ogq_ultimate1,이미지·카테고리 자산 강화
4,v0.4.0,2026-08-16 01:16:58,certi_on_ogq_ultimate2,이미지 렌더링 단순화·UI 안정화
5,v0.5.0,2026-08-16 01:42:48,certi_on_ogq_ultimate3,OpenAI 실연동·키 설정 자동화
6,v0.6.0,2026-08-16 01:51:54,certi_on_ogq_ultimate4,프로젝트 정리본
7,v0.7.0,2026-08-16 01:59:54,z_real_final_final_final_certi_on_ogq_ai_fixed,Flutter HTTP 통신·VS Code AI 실행 강화
8,v0.8.0,2026-08-16 11:09:16,CERTI_ON_OGQ_FULL_FIXED,OpenAI FULL FIXED 실행 안정화
9,v0.9.0,2026-08-16 11:40:18,CERTI_ON_OGQ_FULL_FIXED_V2,Web/Android 로컬 연결·ListTile 오류 수정
10,v0.10.0,2026-08-16 12:08:46,CERTI_ON_OGQ_LOCAL_AI_SMART,클라우드 API 제거·Ollama Qwen3 전환
11,v0.11.0,2026-08-16 12:14:02,CERTI_ON_OGQ_LOCAL_AI_SMART_V2,로컬 AI Windows 실행 스크립트 정리
12,v0.12.0,2026-08-16 13:27:22,CERTI_ON_OGQ_ORIGINAL_LOCAL_QWEN14B,원본 UI 유지형 Qwen3 14B 로컬 AI
13,v0.13.0,2026-08-16 13:38:06,CERTI_ON_OGQ_QWEN14B_SMART_CHAT_FIXED,스마트 채팅·앱 자체 설명 능력 강화
14,v0.14.0,2026-08-16 13:44:00,CERTI_ON_OGQ_QWEN14B_SMART_CHAT_FIXED_V2,Chrome 웹 실행 안정화
15,v0.15.0,2026-08-16 14:03:24,FINAL_ULTIMATE_CERTI_ON_OGQ_AI_MODEL_SELECTOR_NO_TIMEOUT,앱 내 14B/8B/4B 모델 선택·AI timeout 제거
16,v0.16.0,2026-08-16 18:37:54,FINAL_FINAL_ULTIMATE_CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED,휴대폰 완전 독립형 AI 대전환
17,v0.17.0,2026-08-16 18:51:06,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V2,Flutter 3.47/AGP Release 빌드 수정
18,v0.18.0,2026-08-16 19:06:26,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V3,NDK 28.2 통일·PC Wi-Fi 주소 안내
19,v0.19.0,2026-08-16 19:23:58,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V4,PC Ollama 자동기동·0.6B 다운로드 복구
20,v0.20.0,2026-08-16 19:37:08,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V5,한글 UTF-8 토큰 깨짐 수정
21,v0.21.0,2026-08-16 19:42:04,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V6,Qwen3 빈 답변 수정·원클릭 APK Builder
22,v0.22.0,2026-08-16 20:07:34,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V7,내부 추론 노출 차단·Gradle 파일 잠금 대응
23,v0.23.0,2026-08-16 20:42:02,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V8,... 응답 차단·stale backend 방지·3회 검증
24,v1.0.0,2026-08-16 21:09:12,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V9,V9 원클릭 최적화·정리된 최종본
